"","year","county","municip_number","municip","production_final","feed_kg","efcr_region","reference_efcr","efcr_score","prop_below_lice","lice_score","proportion_biomass_bad_momb","momb_score","mean_sustain_score","seaarea","prod_area","maxprod_area","prod_prop_area","aqua_score_area"
"315",2011,"Finnmark",2022,"Lebesby",3026219.10336,4333581,1.41253067887937,1.29053062695158,0.913630157736056,0.915151515151515,0.915151515151515,0,1,0.942080056221921,2269.84,1333.23014104959,121986.97818055,0.0109292824605944,1.0296259034942
"316",2012,"Finnmark",2022,"Lebesby",4922801.82536,6654867,1.39510669059345,1.26235960493737,0.904848076099748,1,1,0,1,0.967219898074154,2269.84,2168.78803147358,125686.780826335,0.0172554982887998,1.66898612961117
"317",2013,"Finnmark",2022,"Lebesby",7355236.92728,8285045,1.38646851850045,1.19861379343724,0.864508481399644,0.955882352941176,0.955882352941176,0,0.813725490196079,0.876093666991425,2269.84,3240.42087868748,188225.773299608,0.0172156066721509,1.50824839788867
"318",2014,"Finnmark",2022,"Lebesby",13133285.91776,13709732,1.32227547107863,1.15775147187438,0.875575095505591,0.942179144385027,0.942179144385027,0.558823529411765,0.651123864179818,0.812886978226714,2269.84,5785.99633355655,113206.377398058,0.0511101624002306,4.15467854702001
"319",2015,"Finnmark",2022,"Lebesby",7190053.78104,11412365,1.53737600516952,1.26086687479015,0.820142158164566,1,1,0.48780487804878,0.439002652058606,0.711408025462412,2269.84,3167.64784347795,134594.780267383,0.0235347005075915,1.67427748179549
"320",2016,"Finnmark",2022,"Lebesby",13464744.53328,14925048,1.3295319373519,1.20884798699381,0.90922824268632,1,1,NA,0.754854861382838,0.882088427835839,2269.84,5932.02363747224,181158.02372089,0.0327450229122157,2.88840057800849
"321",2017,"Finnmark",2022,"Lebesby",8371221.012,10166457,1.36427577657528,1.18855767041856,0.871200449957546,1,1,0.636363636363636,0.625277161862528,0.816701874711366,2269.84,3688.02250907553,213718.888359355,0.0172564181733641,1.40933490729897
"322",2018,"Finnmark",2022,"Lebesby",2548895.04032,3710586,1.40866664437296,1.15415056810372,0.819321287058278,1,1,0,0.754854861382838,0.851999287586737,2269.84,1122.94040122652,127051.292751092,0.00883848071838584,0.753037927541384
"323",2005,"Finnmark",2022,"Lebesby",713323.98192,1281592,1.17623110307944,1.17623110307944,1,0.922619047619048,0.922619047619048,NA,0.754854861382838,0.886397707681379,2269.84,314.261790223099,53364.7520671726,0.00588893938507433,0.521994237160447
"324",2006,"Troms",1931,"Lenvik",1912726.32144,1600900,1.42578423069247,1.2919824295079,0.906155645220182,1,1,NA,0.803792623521225,0.899737052150632,702.95,2720.99910582545,107012.283562146,0.0254269791770706,2.2877595289873
