Year,average_prop_locs_below_thr,Komnum_new,Kommune_new,replaced
2008,NA,2022,Lebesby,0.9880193089430894
2009,NA,2022,Lebesby,0.9880193089430894
2010,NA,2022,Lebesby,0.9880193089430894
2011,NA,2022,Lebesby,0.9880193089430894
2012,0.6774193548387096,1822,Leirfjord,0.6774193548387096
2013,1,1822,Leirfjord,1
2015,1,1822,Leirfjord,1
2016,0.9807692307692307,1822,Leirfjord,0.9807692307692307
2017,0.8125,1822,Leirfjord,0.8125
2018,1,1822,Leirfjord,1
2019,1,1822,Leirfjord,1
2004,NA,1822,Leirfjord,0.9243840836582772
2005,NA,1822,Leirfjord,0.9243840836582772
2006,NA,1822,Leirfjord,0.9243840836582772
2007,NA,1822,Leirfjord,0.9243840836582772
2008,NA,1822,Leirfjord,0.9243840836582772
2009,NA,1822,Leirfjord,0.9243840836582772
2010,NA,1822,Leirfjord,0.9243840836582772
2011,NA,1822,Leirfjord,0.9243840836582772
2014,NA,1822,Leirfjord,0.9243840836582772
2012,0.9324324324324325,1931,Lenvik,0.9324324324324325
2013,0.8958333333333334,1931,Lenvik,0.8958333333333334
2014,0.8937908496732027,1931,Lenvik,0.8937908496732027
2015,0.9842767295597484,1931,Lenvik,0.9842767295597484
2016,1,1931,Lenvik,1
2017,0.9833333333333334,1931,Lenvik,0.9833333333333334
2018,0.9923076923076923,1931,Lenvik,0.9923076923076923
2019,0.9722222222222222,1931,Lenvik,0.9722222222222222
2004,NA,1931,Lenvik,0.9567745741077456
2005,NA,1931,Lenvik,0.9567745741077456
2006,NA,1931,Lenvik,0.9567745741077456
2007,NA,1931,Lenvik,0.9567745741077456
2008,NA,1931,Lenvik,0.9567745741077456
2009,NA,1931,Lenvik,0.9567745741077456
2010,NA,1931,Lenvik,0.9567745741077456
2011,NA,1931,Lenvik,0.9567745741077456
2012,0.8888888888888888,1851,Lodingen,0.8888888888888888
2013,0.9715447154471545,1851,Lodingen,0.9715447154471545
2014,1,1851,Lodingen,1
2015,0.9937106918238994,1851,Lodingen,0.9937106918238994
2016,0.9933333333333333,1851,Lodingen,0.9933333333333333
2017,0.9787581699346405,1851,Lodingen,0.9787581699346405
2018,1,1851,Lodingen,1
2019,1,1851,Lodingen,1
2004,NA,1851,Lodingen,0.9782794749284895
2005,NA,1851,Lodingen,0.9782794749284895
2006,NA,1851,Lodingen,0.9782794749284895
2007,NA,1851,Lodingen,0.9782794749284895
2008,NA,1851,Lodingen,0.9782794749284895
2009,NA,1851,Lodingen,0.9782794749284895
2010,NA,1851,Lodingen,0.9782794749284895
2011,NA,1851,Lodingen,0.9782794749284895
2012,0.9738636363636364,2014,Loppa,0.9738636363636364
2013,0.9502747252747252,2014,Loppa,0.9502747252747252
2014,0.9903846153846154,2014,Loppa,0.9903846153846154
2015,0.9537735849056603,2014,Loppa,0.9537735849056603
2016,0.9920634920634921,2014,Loppa,0.9920634920634921
2017,1,2014,Loppa,1
2018,1,2014,Loppa,1
2019,1,2014,Loppa,1
2004,NA,2014,Loppa,0.9825450067490162
2005,NA,2014,Loppa,0.9825450067490162
2006,NA,2014,Loppa,0.9825450067490162
2007,NA,2014,Loppa,0.9825450067490162
2008,NA,2014,Loppa,0.9825450067490162
2009,NA,2014,Loppa,0.9825450067490162
2010,NA,2014,Loppa,0.9825450067490162
2011,NA,2014,Loppa,0.9825450067490162
2012,0.8472985347985348,1834,Luroy,0.8472985347985348
2013,0.9535714285714286,1834,Luroy,0.9535714285714286
2014,0.945054945054945,1834,Luroy,0.945054945054945
2015,0.9076145552560647,1834,Luroy,0.9076145552560647
2016,0.9769536019536019,1834,Luroy,0.9769536019536019
2017,0.9511599511599511,1834,Luroy,0.9511599511599511
2018,0.9698183760683761,1834,Luroy,0.9698183760683761
2019,0.9910714285714286,1834,Luroy,0.9910714285714286
2004,NA,1834,Luroy,0.9428178526792914
2005,NA,1834,Luroy,0.9428178526792914
2006,NA,1834,Luroy,0.9428178526792914
2007,NA,1834,Luroy,0.9428178526792914
2008,NA,1834,Luroy,0.9428178526792914
2009,NA,1834,Luroy,0.9428178526792914
2010,NA,1834,Luroy,0.9428178526792914
2011,NA,1834,Luroy,0.9428178526792914
2012,1,1938,Lyngen,1
2013,1,1938,Lyngen,1
2014,1,1938,Lyngen,1
2015,1,1938,Lyngen,1
2016,1,1938,Lyngen,1
2017,1,1938,Lyngen,1
2018,1,1938,Lyngen,1
2004,NA,1938,Lyngen,1
2005,NA,1938,Lyngen,1
2006,NA,1938,Lyngen,1
2007,NA,1938,Lyngen,1
2008,NA,1938,Lyngen,1
2009,NA,1938,Lyngen,1
2010,NA,1938,Lyngen,1
2011,NA,1938,Lyngen,1
2019,NA,1938,Lyngen,1
2012,1,2018,Masoy,1
2013,1,2018,Masoy,1
2014,1,2018,Masoy,1
2015,0.9952830188679245,2018,Masoy,0.9952830188679245
2016,1,2018,Masoy,1
2017,0.9807692307692307,2018,Masoy,0.9807692307692307
2018,1,2018,Masoy,1
2019,1,2018,Masoy,1
2004,NA,2018,Masoy,0.9970065312046444
2005,NA,2018,Masoy,0.9970065312046444
2006,NA,2018,Masoy,0.9970065312046444
2007,NA,2018,Masoy,0.9970065312046444
2008,NA,2018,Masoy,0.9970065312046444
2009,NA,2018,Masoy,0.9970065312046444
2010,NA,2018,Masoy,0.9970065312046444
2011,NA,2018,Masoy,0.9970065312046444
