"Year","Municip_number","Species","SSB","Stock","Flim","Blim","Fmsy","MSYBtrigger","F","b_score","f_score","stock_score","Total_catch_new","Municip_name_new","catch_runmean","Seaarea","catch_per_area","max_catch_area","weighted_catch","weighted_catch_score","total_tons","catch_prop","fish_score"
2011,"1820","Saithe",298212,"pok.27.1-2",0.58,136000,NA,220000,0.373,1,NA,1,0.0918,"Alstahaug",0.197633333333334,397.61,0.00049705322636084,4.71129523039789,0.000105502457828112,0.000105502457828112,2.20156666666666,0.0897694066346697,0.179040568123879
1996,"1820","Shrimp",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.94,"Alstahaug",0.94,397.61,0.00236412565076331,0.694620212016069,0.003403479498389,0.003403479498389,86.6581333333333,0.0108472218803082,0.774541781064633
2010,"1820","Shrimp",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.426,"Alstahaug",0.426,397.61,0.00107140162470763,1.21009149951068,0.000885388935581208,0.000885388935581208,960.103133333333,0.000443702332811885,6.84536840555873
2011,"1820","Shrimp",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.555,"Alstahaug",1.555,397.61,0.00391086743291165,1.56721313158273,0.00249542793771901,0.00249542793771901,2.20156666666666,0.706315199781976,0.179040568123879
2012,"1820","Shrimp",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.484,"Alstahaug",0.484,397.61,0.0012172732074143,1.54848639141533,0.000786105201933159,0.000786105201933159,0.484,1,0.0786105201933159
2013,"1820","Shrimp",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.278,"Alstahaug",0.278,397.61,0.000699177586076809,1.44277386549503,0.000484606495028874,0.000484606495028874,0.726933333333326,0.382428466617759,0.022287536052679
1994,"1822","Atlantic cod",591364,"cod.27.1-2",0.74,220000,0.4,460000,0.797,1,0,0.5,2.0235,"Leirfjord",1.0995,130.95,0.00839633447880871,11.5957758976268,0.000724085611254967,0.000362042805627484,4.77796666666667,0.230118809256378,2.09527553153376
1995,"1822","Atlantic cod",523318,"cod.27.1-2",0.74,220000,0.4,460000,0.782,1,0,0.5,0.864,"Leirfjord",1.0995,130.95,0.00839633447880871,11.5957758976268,0.000724085611254967,0.000362042805627484,4.77796666666667,0.230118809256378,2.10006514712914
1996,"1822","Atlantic cod",546404,"cod.27.1-2",0.74,220000,0.4,460000,0.766,1,0,0.5,0.411,"Leirfjord",1.058,130.95,0.00807941962581138,11.203589232838,0.000721145648764985,0.000360572824382492,5.71193333333333,0.185226251473523,3.43086443095673
1997,"1822","Atlantic cod",544203,"cod.27.1-2",0.74,220000,0.4,460000,0.947,1,0,0.5,1.899,"Leirfjord",0.847,130.95,0.00646811760213822,11.0830323623589,0.000583605406053469,0.000291802703026734,5.8673,0.144359415744891,4.09945523343411
